machine_type,shift,maintenance_done_recently,runtime_hours,production_units,avg_load_pct,temperature_c,vibration_mm_s,idle_minutes,days_since_maintenance,energy_kwh
Compressor,Night,No,11.74,702,100.0,106.6,5.95,36.4,88,352.4
Conveyor,Morning,No,17.91,700,51.2,57.4,1.09,26.6,108,187.8
Pump,Afternoon,No,12.26,718,53.4,40.7,1.45,36.4,55,191.5
Conveyor,Afternoon,Yes,1.44,593,47.2,59.0,0.94,60.7,16,167.5
CNC,Morning,No,15.66,877,99.9,62.9,4.53,74.6,59,341.2
Pump,Morning,No,3.83,884,56.9,46.8,4.79,32.4,109,229.7
Compressor,Morning,Yes,12.23,525,100.0,88.2,3.98,52.9,100,348.4
Compressor,Afternoon,No,5.59,1205,71.6,84.6,6.69,19.9,8,292.5
Compressor,Afternoon,Yes,9.48,1165,100.0,74.4,1.67,34.8,64,352.9
Compressor,Night,No,23.67,755,100.0,102.6,5.34,37.5,88,445.1
CNC,Night,No,1.1,898,68.2,78.9,2.62,18.3,12,230.1
CNC,Night,No,4.43,763,56.6,79.0,1.04,38.7,8,195.1
CNC,Afternoon,Yes,2.52,771,77.7,83.7,1.89,50.5,8,172.8
Pump,Night,No,23.0,889,57.6,68.6,2.72,59.2,25,317.8
CNC,Morning,No,13.97,587,60.1,69.2,1.14,51.5,74,278.8
CNC,Morning,No,13.92,624,73.0,62.3,4.62,58.8,107,314.1
Compressor,Morning,No,3.77,1463,100.0,87.1,1.96,100.8,30,332.4
CNC,Morning,Yes,2.65,529,74.0,64.6,2.99,58.6,73,188.7
CNC,Morning,No,11.32,821,59.9,78.4,2.95,56.4,119,263.1
Compressor,Night,No,22.62,1471,100.0,67.8,1.35,77.0,90,419.2
Pump,Morning,Yes,21.38,767,43.8,42.1,2.81,33.4,82,299.9
Compressor,Night,No,3.66,1161,99.6,92.1,0.98,32.3,94,364.0
CNC,Afternoon,No,5.96,1178,84.6,67.6,1.72,33.9,23,249.9
Pump,Night,Yes,7.41,876,62.4,59.0,4.89,35.0,10,254.3
Compressor,Morning,No,15.73,1388,92.9,74.8,4.92,65.0,74,365.1
Compressor,Afternoon,No,19.48,922,76.5,105.6,3.37,32.8,63,418.4
Pump,Afternoon,No,11.03,620,32.3,57.8,0.5,54.4,41,180.6
Conveyor,Afternoon,No,6.81,639,60.6,45.2,0.97,35.3,56,196.1
Pump,Afternoon,No,10.38,1148,56.8,49.6,3.95,49.0,1,245.9
Compressor,Afternoon,No,10.85,912,100.0,88.5,3.17,63.9,118,340.0
CNC,Morning,No,2.83,912,88.6,66.8,3.68,56.3,71,259.6
CNC,Night,No,1.08,998,79.0,73.3,4.16,45.6,54,250.7
CNC,Morning,Yes,8.25,955,77.5,63.2,7.93,43.9,46,243.9
CNC,Morning,Yes,23.29,818,56.7,79.3,1.01,23.7,7,250.8
CNC,Morning,No,11.49,1007,71.0,68.0,4.08,62.4,8,329.5
Compressor,Night,No,4.35,1003,83.4,88.7,5.58,49.0,66,308.0
CNC,Afternoon,No,1.21,988,69.1,68.9,1.33,91.1,67,235.9
Pump,Afternoon,Yes,18.55,598,91.3,54.6,1.43,59.0,113,303.2
Conveyor,Night,No,1.56,609,37.0,57.8,0.47,63.6,41,146.6
Pump,Afternoon,No,14.06,775,73.4,55.3,1.86,43.1,4,268.1
CNC,Afternoon,No,23.0,610,70.4,72.0,2.74,40.1,89,324.4
Conveyor,Afternoon,No,23.52,519,41.1,45.2,2.05,33.8,13,235.3
CNC,Afternoon,No,9.8,1290,69.1,76.2,2.17,56.7,61,311.9
Conveyor,Morning,No,5.49,631,40.7,28.7,1.15,28.6,115,128.5
Conveyor,Night,No,4.88,699,48.0,59.1,0.28,20.5,69,183.7
CNC,Night,No,16.28,1166,44.2,62.4,1.76,24.9,45,262.1
CNC,Morning,No,7.89,1057,61.2,64.0,4.23,69.3,68,263.6
Compressor,Night,No,2.93,991,97.4,111.5,2.48,47.9,35,325.2
Pump,Night,No,16.92,837,45.6,40.5,1.19,32.0,4,272.6
CNC,Morning,No,4.51,1099,65.8,62.5,4.07,44.0,51,258.0
Pump,Night,No,15.85,857,70.8,69.7,2.51,29.2,22,279.0
CNC,Afternoon,Yes,15.78,730,88.3,69.6,1.32,43.0,57,276.4
CNC,Morning,No,8.36,816,73.5,72.7,0.27,26.9,23,275.9
Compressor,Afternoon,No,21.71,879,87.9,86.7,1.15,32.8,17,350.2
Conveyor,Morning,Yes,5.43,547,38.9,51.9,1.89,90.8,31,178.5
CNC,Night,Yes,17.82,628,75.3,87.4,5.19,33.7,119,280.8
CNC,Afternoon,No,1.55,832,94.0,65.2,1.41,70.1,77,259.4
Pump,Afternoon,No,1.77,1149,63.7,54.3,1.98,40.3,57,260.8
Conveyor,Night,No,19.19,678,49.8,38.0,2.13,87.4,42,261.4
CNC,Night,Yes,12.44,1084,47.1,73.2,1.73,44.0,80,244.9
Compressor,Night,No,5.01,1040,81.5,91.9,3.92,34.0,46,340.7
Pump,Night,No,11.61,572,57.2,57.9,1.59,37.0,88,213.4
Pump,Afternoon,No,10.79,767,64.6,55.5,2.66,22.6,88,252.3
CNC,Morning,Yes,1.0,470,70.2,64.3,1.4,48.7,67,172.3
Conveyor,Afternoon,No,17.2,577,52.6,46.0,0.31,46.7,14,214.9
Pump,Morning,Yes,4.17,815,50.5,46.0,1.88,29.5,40,181.5
CNC,Afternoon,No,21.56,1278,91.2,57.3,1.35,40.1,73,376.6
Compressor,Morning,No,11.67,1052,79.3,77.6,2.3,51.0,16,317.1
CNC,Afternoon,No,14.88,1324,61.0,70.6,2.41,0.0,60,289.5
Compressor,Morning,Yes,3.32,961,100.0,62.9,6.27,42.1,100,344.4
CNC,Morning,No,1.74,1179,75.2,64.3,3.21,40.5,112,245.1
Pump,Night,Yes,9.46,600,64.3,63.3,1.35,46.6,105,241.4
Compressor,Afternoon,No,15.37,1092,100.0,90.0,1.7,86.0,57,331.5
Pump,Afternoon,Yes,4.45,732,65.4,62.3,1.36,31.1,99,207.0
Pump,Night,No,8.09,743,41.8,54.9,1.06,47.4,66,223.6
Pump,Morning,No,8.44,613,67.8,51.1,0.79,39.0,78,221.5
Compressor,Night,No,16.84,1180,55.2,87.4,3.44,69.9,46,333.1
Conveyor,Afternoon,Yes,7.93,489,61.2,59.1,2.37,67.6,62,225.8
Conveyor,Afternoon,No,7.34,632,53.6,39.0,2.35,38.5,32,233.5
CNC,Morning,No,8.77,977,90.5,62.3,1.56,35.6,23,264.8
Compressor,Afternoon,No,16.96,1413,99.3,94.3,2.78,35.4,83,374.4
Pump,Afternoon,No,15.31,676,61.4,38.4,1.4,43.0,3,247.6
CNC,Night,No,3.54,940,93.4,73.5,2.08,82.0,59,304.2
Compressor,Afternoon,No,22.25,821,70.9,72.6,2.31,53.6,39,310.2
Conveyor,Morning,No,8.7,792,42.9,51.2,1.09,25.0,21,214.1
Compressor,Afternoon,No,20.87,1462,85.3,97.5,1.49,51.3,110,408.8
CNC,Night,Yes,15.38,829,82.3,46.0,1.61,69.6,51,282.1
Conveyor,Night,No,9.55,796,73.0,47.0,0.33,73.5,30,225.6
Compressor,Afternoon,No,9.27,1294,61.5,88.9,8.74,36.7,48,322.5
Pump,Morning,Yes,13.97,822,72.2,62.0,1.18,58.6,6,248.8
Compressor,Night,No,22.6,1564,82.9,85.4,1.97,15.0,67,382.6
Compressor,Afternoon,Yes,22.78,710,96.0,88.6,1.95,21.6,72,324.6
Compressor,Afternoon,No,19.82,1005,79.0,112.5,2.45,18.5,66,384.2
Pump,Night,No,12.52,821,53.0,63.0,0.72,40.8,72,261.8
CNC,Morning,No,16.15,1063,64.1,49.7,3.96,43.8,2,307.8
Compressor,Afternoon,No,7.26,1185,96.2,93.9,2.67,69.1,59,337.3
Compressor,Morning,No,2.52,1222,100.0,59.8,3.7,61.5,112,335.9
Compressor,Morning,No,8.92,1161,80.2,77.4,3.71,57.7,20,304.2
Conveyor,Morning,No,2.64,816,41.4,51.6,1.05,36.9,79,182.4
Conveyor,Morning,No,22.82,686,40.4,56.1,0.93,47.5,59,257.1
Compressor,Afternoon,Yes,1.6,1297,59.0,92.3,1.58,64.9,66,245.0
Compressor,Morning,No,4.14,1140,84.0,68.3,4.9,26.5,78,339.2
Compressor,Night,No,8.94,1212,94.8,102.9,2.33,68.7,53,375.5
